chemical_index	chemical_id	InChI_Key	SMILES
12367	ZINC72112659	JDVHCWYKJODEND-INIZCTEOSA-N	CCCCCCCCCC(=O)CC(=O)N[C@H]1CCCCC1=O
12366	ZINC72112658	JDVHCWYKJODEND-MRXNPFEDSA-N	CCCCCCCCCC(=O)CC(=O)N[C@@H]1CCCCC1=O
118	ZINC00002200	TVYLLZQTGLZFBW-GOEBONIOSA-O	COc1cccc(c1)[C@]1(O)CCCC[C@H]1C[NH+](C)C
33	ZINC00000853	TVYLLZQTGLZFBW-ZBFHGGJFSA-O	COc1cccc(c1)[C@@]1(O)CCCC[C@@H]1C[NH+](C)C
10230	ZINC26663529	LXWLOFYIORKNSA-FFOGNQQCSA-N	CCCCCC(=O)O[C@@H]1[C@@H](OC(=O)/C(=C\C)/C)C(=C2[C@H]1[C@@](C)(OC(=O)C)C[C@@H]([C@]1([C@H]2OC(=O)[C@@]1(C)O)O)OC(=O)CCC)C
6642	ZINC08195655	IXFPJGBNCFXKPI-FSIHEZPISA-N	CCCCCCCC(=O)O[C@@H]1[C@@H](OC(=O)/C(=C\C)/C)C(=C2[C@H]1[C@@](C)(OC(=O)C)C[C@@H]([C@]1([C@H]2OC(=O)[C@@]1(C)O)O)OC(=O)CCC)C
12226	ZINC59193775	CJSWQSHRFRRFMC-UHFFFAOYSA-N	Clc1ccc(c(c1)Cl)c1csc(n1)NN=C1CCCCCC1
9051	ZINC15224796	LJDWNJHXJAENBL-UHFFFAOYSA-N	Clc1ccc(c(c1)Cl)c1csc(n1)NN=C1CCCC1
1577	ZINC00578549	QZZAILZNINUTIG-UHFFFAOYSA-N	[O-][N+](=O)c1ccc(cc1)c1csc(n1)NN=C1CCCCCC1
1078	ZINC00192778	DVNGUIAUHYPPNY-UHFFFAOYSA-N	[O-][N+](=O)c1ccc(cc1)c1csc(n1)NN=C1CCCC1
12141	ZINC53227588	WLMZTKAZJUWXCB-KQYNXXCUSA-K	CSc1nc(N)c2c(n1)n(cn2)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)CO[P@](=O)(OP(=O)([O-])[O-])[O-]
9290	ZINC17654543	XNOBOKJVOTYSJV-KQYNXXCUSA-J	CSc1nc(N)c2c(n1)n(cn2)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)CO[P@](=O)(O[P@](=O)(OP(=O)([O-])[O-])[O-])[O-]
1900	ZINC00862376	JMCVGASJAJMFPN-UHFFFAOYSA-N	N
1863	ZINC00827253	LDRAQQHRVGROSV-UHFFFAOYSA-N	N
11225	ZINC34662381	BOFGUJVLYGISIU-AATRIKPKSA-M	[O-]C(=O)/C=C/C(=O)OCCCCC
5910	ZINC05297632	RNERBJNDXXEXTK-VOTSOKGWSA-M	[O-]C(=O)/C=C/C(=O)OCCCCCC
1890	ZINC00854136	MZCDQILVXXIMEV-UHFFFAOYSA-N	N
1864	ZINC00827259	VKXNIAWKFHPGRL-UHFFFAOYSA-N	N
10749	ZINC28710853	LOGTZDQTPQYKEN-KKFOGOCZSA-N	CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H]1CO1
10432	ZINC27647131	ACYNJBAUKQMZDF-NZRYSPDRSA-N	CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H]1CO1
4687	ZINC03899411	KDHOWTVYQKITMO-UHFFFAOYSA-N	CCCCc1ccc(cc1)C(=O)Nc1cccnc1
3870	ZINC03128742	DZLXEBWNAFQZQI-UHFFFAOYSA-N	CCCCCc1ccc(cc1)C(=O)Nc1cccnc1
241	ZINC00006310	MQJKPEGWNLWLTK-UHFFFAOYSA-N	Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)N
111	ZINC00002101	FDDDEECHVMSUSB-UHFFFAOYSA-N	Nc1ccc(cc1)S(=O)(=O)N
