indice	compound_a		compound_b		value
1       ZINC00002275    ZINC00002284    1.00
2       ZINC00002275    ZINC00006923    1.00
3       ZINC00002275    ZINC04842164    0.67
4       ZINC00002275    ZINC04843014    0.63
5       ZINC00002275    ZINC08195655    0.22
6       ZINC00002275    ZINC26663529    0.22
7       ZINC00002284    ZINC00006923    1.00
8       ZINC00002284    ZINC04842164    0.67
9       ZINC00002284    ZINC04843014    0.63
10      ZINC00002284    ZINC08195655    0.22
11      ZINC00002284    ZINC26663529    0.22
12      ZINC00006923    ZINC04842164    0.67
13      ZINC00006923    ZINC04843014    0.63
14      ZINC00006923    ZINC08195655    0.22
15      ZINC00006923    ZINC26663529    0.22
16      ZINC04842164    ZINC04843014    0.96
17      ZINC04842164    ZINC08195655    0.14
18      ZINC04842164    ZINC26663529    0.14
19      ZINC04843014    ZINC08195655    0.12
20      ZINC04843014    ZINC26663529    0.13
21      ZINC08195655    ZINC26663529    0.96
